"submission_id","experiment_id","quantifier","trial_type","property_1","display","picture_type","condition","response","listNumber","response_3","trial_number","response_1","property_2","picture","QUANT","der","SHAPE","auf","dem","Bild","sind","CRIT_3","der2","Box","shape_1","response_2","trial_name","shape_2"
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"grün",NA,NA,1,NA,NA,"images/Color-test/Colortest23.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"orange",NA,NA,2,NA,NA,"images/Color-test/Colortest19.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"blau",NA,NA,3,NA,NA,"images/Color-test/Colortest25.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"blau",NA,NA,4,NA,NA,"images/Color-test/Colortest13.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"gelb",NA,NA,5,NA,NA,"images/Color-test/Colortest31.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"orange",NA,NA,6,NA,NA,"images/Color-test/Colortest33.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"grün",NA,NA,7,NA,NA,"images/Color-test/Colortest35.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"grün",NA,NA,8,NA,NA,"images/Color-test/Colortest16.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"gelb",NA,NA,9,NA,NA,"images/Color-test/Colortest17.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"blau",NA,NA,10,NA,NA,"images/Color-test/Colortest29.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"gelb",NA,NA,11,NA,NA,"images/Color-test/Colortest24.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"color_test_dropdown",NA,NA,NA,NA,"orange",NA,NA,12,NA,NA,"images/Color-test/Colortest21.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8768,58,NA,"dropdown_sentence_completion",NA,"1-homo-1-hetero","C",NA,NA,1,"groß",1,"Alle",NA,"images/Production/Test-3/1-homogeneous-1-heterogeneous/1a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate",NA,NA
8768,58,NA,"dropdown_sentence_completion",NA,"2-homo","A",NA,NA,1,"gelb",2,"Alle",NA,"images/Production/Test-1/2-homogeneous/1a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise",NA,NA
8768,58,NA,"dropdown_sentence_completion",NA,"2-hetero","B",NA,NA,1,"neben",3,"Einige",NA,"images/Production/Test-2/2-heterogeneous/1a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate",NA,NA
8768,58,NA,"dropdown_sentence_completion","mixed","1-homo-1-hetero","B",NA,NA,2,"in",1,"Einige","neben","images/Production/Test-2/1-homogeneous-1-heterogeneous/2b.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Kreise",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","klein","1-homo-1-hetero","C",NA,NA,2,"klein",2,"Alle","mixed","images/Production/Test-3/1-homogeneous-1-heterogeneous/2c.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dreiecke","Dreiecke",NA,"Kreise"
8768,58,NA,"dropdown_sentence_completion","mixed","2-hetero","A",NA,NA,2,"orange",3,"Einige","mixed","images/Production/Test-1/2-heterogeneous/2b.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Kreise",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","grün","1-homo-1-hetero","A",NA,NA,2,"grün",4,"Alle","mixed","images/Production/Test-1/1-homogeneous-1-heterogeneous/2b.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate","Quadrate",NA,"Kreise"
8768,58,NA,"dropdown_sentence_completion","grün","2-homo","A",NA,NA,2,"gelb",5,"Alle","gelb","images/Production/Test-1/2-homogeneous/2c.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Dreiecke",NA,"Dreiecke"
8768,58,NA,"dropdown_sentence_completion","mixed","2-hetero","C",NA,NA,2,"groß",6,"Einige","mixed","images/Production/Test-3/2-heterogeneous/2b.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dreiecke","Quadrate",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","mixed","2-hetero","A",NA,NA,2,"gelb",7,"Einige","mixed","images/Production/Test-1/2-heterogeneous/2c.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Kreise",NA,"Dreiecke"
8768,58,NA,"dropdown_sentence_completion","groß","2-homo","C",NA,NA,2,"groß",8,"Alle","groß","images/Production/Test-3/2-homogeneous/2a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Kreise",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","grün","1-homo-1-hetero","A",NA,NA,2,"grün",9,"Alle","mixed","images/Production/Test-1/1-homogeneous-1-heterogeneous/2c.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate","Quadrate",NA,"Dreiecke"
8768,58,NA,"dropdown_sentence_completion","grün","1-homo-1-hetero","A",NA,NA,1,"grün",1,"Alle","mixed","images/Production/Test-1/1-homogeneous-1-heterogeneous/1a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dreiecke","Dreiecke",NA,"Kreise"
8768,58,NA,"dropdown_sentence_completion","groß","1-homo-1-hetero","C",NA,NA,1,"klein",2,"Einige","mixed","images/Production/Test-3/1-homogeneous-1-heterogeneous/1a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate","Dreiecke",NA,"Dreiecke"
8768,58,NA,"dropdown_sentence_completion","mixed","1-homo-1-hetero","B",NA,NA,1,"neben",3,"Alle","neben","images/Production/Test-2/1-homogeneous-1-heterogeneous/1c.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate","Kreise",NA,"Kreise"
8768,58,NA,"dropdown_sentence_completion","groß","2-homo","C",NA,NA,1,"groß",4,"Alle","groß","images/Production/Test-3/2-homogeneous/1a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate","Kreise",NA,"Kreise"
8768,58,NA,"dropdown_sentence_completion","mixed","2-hetero","A",NA,NA,1,"orange",5,"Einige","mixed","images/Production/Test-1/2-heterogeneous/1a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dreiecke","Dreiecke",NA,"Kreise"
8768,58,NA,"dropdown_sentence_completion","in","2-homo","B",NA,NA,1,"neben",6,"Alle","neben","images/Production/Test-2/2-homogeneous/1b.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Quadrate",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","mixed","2-hetero","B",NA,NA,1,"in",7,"Einige","mixed","images/Production/Test-2/2-heterogeneous/1a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate","Quadrate",NA,"Dreiecke"
8768,58,NA,"dropdown_sentence_completion","in","2-homo","B",NA,NA,1,"in",8,"Alle","neben","images/Production/Test-2/2-homogeneous/1a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dreiecke","Dreiecke",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","klein","2-homo","C",NA,NA,1,"klein",9,"Alle","klein","images/Production/Test-3/2-homogeneous/1b.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate","Quadrate",NA,"Dreiecke"
8768,58,NA,"dropdown_sentence_completion","mixed","2-hetero","A",NA,NA,3,"blau",1,"Einige","mixed","images/Production/Test-1/2-heterogeneous/3b.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dreiecke","Quadrate",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","mixed","1-homo-1-hetero","C",NA,NA,3,"klein",2,"Alle","klein","images/Production/Test-3/1-homogeneous-1-heterogeneous/3b.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Quadrate",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","neben","1-homo-1-hetero","B",NA,NA,3,"neben",3,"Einige","mixed","images/Production/Test-2/1-homogeneous-1-heterogeneous/3b.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Quadrate",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","in","2-homo","B",NA,NA,3,"in",4,"Alle","neben","images/Production/Test-2/2-homogeneous/3a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate","Quadrate",NA,"Kreise"
8768,58,NA,"dropdown_sentence_completion","mixed","1-homo-1-hetero","C",NA,NA,3,"groß",5,"Alle","groß","images/Production/Test-3/1-homogeneous-1-heterogeneous/3a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Dreiecke",NA,"Dreiecke"
8768,58,NA,"dropdown_sentence_completion","blau","2-homo","A",NA,NA,3,"blau",6,"Alle","gelb","images/Production/Test-1/2-homogeneous/3a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quadrate","Quadrate",NA,"Kreise"
8768,58,NA,"dropdown_sentence_completion","groß","2-homo","C",NA,NA,3,"groß",7,"Alle","groß","images/Production/Test-3/2-homogeneous/3a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dreiecke","Quadrate",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","mixed","2-hetero","C",NA,NA,3,"groß",8,"Einige","mixed","images/Production/Test-3/2-heterogeneous/3a.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Kreise",NA,"Quadrate"
8768,58,NA,"dropdown_sentence_completion","grün","2-homo","A",NA,NA,3,"orange",9,"Alle","orange","images/Production/Test-1/2-homogeneous/3b.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kreise","Quadrate",NA,"Quadrate"
8768,58,"all",NA,NA,NA,"A","unbiased","7",1,NA,1,NA,NA,"images/SPR/Test-1/UnbiasedAll/1a.png","1660","1376","1152","2336","448","720","1440","1716",NA,NA,NA,NA,"practice_task_three",NA
